corp_code,corp_name,stock_code,rcept_no,rcept_dt,report_nm,is_correction,is_extraordinary
00393618,제노텍,066830,20250304000543,20250304,주주총회소집공고,False,False
00393618,제노텍,066830,20240305000147,20240305,주주총회소집공고,False,False
00946030,로보티즈,108490,20260306000825,20260306,주주총회소집공고,False,False
00946030,로보티즈,108490,20250417000277,20250417,주주총회소집공고,False,False
00946030,로보티즈,108490,20250310000887,20250310,주주총회소집공고,False,False
00946030,로보티즈,108490,20240312000805,20240312,주주총회소집공고,False,False
00609324,뷰웍스,100120,20260316001150,20260316,주주총회소집공고,False,False
00609324,뷰웍스,100120,20250314000700,20250314,주주총회소집공고,False,False
00609324,뷰웍스,100120,20240313001311,20240313,주주총회소집공고,False,False
00143794,원림,005820,20260311003568,20260311,주주총회소집공고,False,False
00143794,원림,005820,20250314000717,20250314,주주총회소집공고,False,False
00143794,원림,005820,20240313000455,20240313,주주총회소집공고,False,False
00118965,티에이치엔,019180,20260323001142,20260323,[기재정정]주주총회소집공고,True,False
00118965,티에이치엔,019180,20260316000951,20260316,주주총회소집공고,False,False
00118965,티에이치엔,019180,20250312000946,20250312,주주총회소집공고,False,False
00118965,티에이치엔,019180,20240313001105,20240313,주주총회소집공고,False,False
00125488,삼륭물산,014970,20260310002053,20260310,주주총회소집공고,False,False
00125488,삼륭물산,014970,20250313000675,20250313,주주총회소집공고,False,False
00125488,삼륭물산,014970,20240313000498,20240313,주주총회소집공고,False,False
00260879,카페24,042000,20260311003495,20260311,주주총회소집공고,False,False
00260879,카페24,042000,20250311000675,20250311,주주총회소집공고,False,False
00260879,카페24,042000,20240313000768,20240313,주주총회소집공고,False,False
00861100,아이케이세미콘,149010,20260316000199,20260316,주주총회소집공고,False,False
00861100,아이케이세미콘,149010,20250314000553,20250314,주주총회소집공고,False,False
00861100,아이케이세미콘,149010,20240716000068,20240716,주주총회소집공고,False,False
00861100,아이케이세미콘,149010,20240311000676,20240311,주주총회소집공고,False,False
00304915,코리아에셋투자증권,190650,20250613000471,20250613,[기재정정]주주총회소집공고,True,False
00304915,코리아에셋투자증권,190650,20250613000189,20250613,주주총회소집공고,False,False
00304915,코리아에셋투자증권,190650,20240613000193,20240613,주주총회소집공고,False,False
00362159,웰크론,065950,20260306000800,20260306,주주총회소집공고,False,False
00362159,웰크론,065950,20250310000388,20250310,주주총회소집공고,False,False
00362159,웰크론,065950,20240306000572,20240306,주주총회소집공고,False,False
01303029,알비더블유,361570,20260316000903,20260316,주주총회소집공고,False,False
01303029,알비더블유,361570,20250314001254,20250314,주주총회소집공고,False,False
01303029,알비더블유,361570,20240816000149,20240816,[기재정정]주주총회소집공고,True,False
01303029,알비더블유,361570,20240816000135,20240816,주주총회소집공고,False,False
01303029,알비더블유,361570,20240314001556,20240314,주주총회소집공고,False,False
01293388,무진메디,322970,20260309001755,20260309,주주총회소집공고,False,False
01293388,무진메디,322970,20251106000180,20251106,주주총회소집공고,False,False
01293388,무진메디,322970,20250312000771,20250312,주주총회소집공고,False,False
01293388,무진메디,322970,20240313000316,20240313,주주총회소집공고,False,False
01311286,퀀타매트릭스,317690,20260316000389,20260316,주주총회소집공고,False,False
01311286,퀀타매트릭스,317690,20250313000045,20250313,주주총회소집공고,False,False
01311286,퀀타매트릭스,317690,20240314000180,20240314,주주총회소집공고,False,False
01394377,이지스밸류플러스리츠,334890,20251113000903,20251113,주주총회소집공고,False,False
01394377,이지스밸류플러스리츠,334890,20250515002392,20250515,주주총회소집공고,False,False
01394377,이지스밸류플러스리츠,334890,20241121000219,20241121,[기재정정]주주총회소집공고,True,False
01394377,이지스밸류플러스리츠,334890,20241114002892,20241114,주주총회소집공고,False,False
01394377,이지스밸류플러스리츠,334890,20240530001011,20240530,[기재정정]주주총회소집공고,True,False
01394377,이지스밸류플러스리츠,334890,20240516001504,20240516,주주총회소집공고,False,False
00118008,동원금속,018500,20250613000272,20250613,[기재정정]주주총회소집공고,True,False
00118008,동원금속,018500,20250611000296,20250611,주주총회소집공고,False,False
00118008,동원금속,018500,20240612000213,20240612,주주총회소집공고,False,False
00561732,아스플로,159010,20260318000030,20260318,[기재정정]주주총회소집공고,True,False
00561732,아스플로,159010,20260316000111,20260316,주주총회소집공고,False,False
00561732,아스플로,159010,20250305000152,20250305,주주총회소집공고,False,False
00561732,아스플로,159010,20240311000105,20240311,주주총회소집공고,False,False
00132354,쿠쿠홀딩스,192400,20260309001892,20260309,주주총회소집공고,False,False
00132354,쿠쿠홀딩스,192400,20251027000212,20251027,주주총회소집공고,False,False
00132354,쿠쿠홀딩스,192400,20250428000518,20250428,주주총회소집공고,False,False
00132354,쿠쿠홀딩스,192400,20250310000756,20250310,주주총회소집공고,False,False
00132354,쿠쿠홀딩스,192400,20240311000620,20240311,주주총회소집공고,False,False
