isu_cd,effective_date,factor,event_type,source,evidence,price_check,confidence,note
243070,20180515,1.19972777273327,bonus,disclosure,20180426000224,pass,confirmed,"신주 1,359,803 = 공시 bonus | 주식수반영일 20180608"
243840,20240426,5,split,v1+ledger,20240425900744,pass,confirmed,"v1 confirmed 승계, 일간 실측 배율"
244460,20210329,1.49999997063695,bonus,disclosure,20210315000112,warn,confirmed,"신주 8,514,101 = 공시 bonus | 주식수반영일 20210416"
244460,20241030,0.1,reduction,v1+ledger,20241008000388,pass,confirmed,"v1 confirmed 승계, 일간 실측 배율"
245620,20210317,1.94584342845157,bonus,disclosure,20210303000040,warn,confirmed,"신주 40,609,344 = 공시 bonus | 주식수반영일 20210412"
246250,20240712,2,bonus,disclosure,20240625000165,warn,confirmed,"신주 7,674,103 = 공시 bonus | 주식수반영일 20240802"
246690,20210412,1.490111797813,bonus,disclosure,20210409001938,pass,confirmed,"신주 12,854,069 = 공시 bonus | 주식수반영일 20210430"
246710,20220405,2.00590233345734,bonus,disclosure,20220322000175,warn,confirmed,"신주 10,426,572 = 공시 bonus | 주식수반영일 20220426"
246710,20251029,1.2,mixed,disclosure,20251016000205,warn,confirmed,"신주 7,490,282 = 공시 mixed | 주식수반영일 20251118"
246960,20250630,3.99915843277086,bonus,disclosure,20250718000584,warn,confirmed,"신주 25,477,446 = 공시 bonus | 주식수반영일 20250728"
247540,20220627,4,mixed,disclosure,20220614000068,warn,confirmed,"신주 73,351,008 = 공시 mixed | 주식수반영일 20220715"
249420,20200305,1.04996958155047,bonus,disclosure,20200214000922,pass,confirmed,"신주 1,132,833 = 공시 bonus | 주식수반영일 20200325"
251370,20171228,2,bonus,disclosure,20171211000028,warn,confirmed,"신주 3,702,600 = 공시 bonus | 주식수반영일 20180119"
251370,20200731,2,bonus,disclosure,20200611000054,warn,confirmed,"신주 7,405,200 = 공시 bonus | 주식수반영일 20200820"
251630,20190604,2,bonus,disclosure,20190520000092,warn,confirmed,"신주 7,525,290 = 공시 bonus | 주식수반영일 20190625"
251970,20190730,6.58625067057593,bonus,disclosure,20190715000041,warn,confirmed,"신주 10,517,290 = 공시 bonus | 주식수반영일 20190822"
252500,20210917,2,bonus,disclosure,20210831000823,warn,confirmed,"신주 20,743,195 = 공시 bonus | 주식수반영일 20211025"
255220,20190807,2.87931560022594,bonus,disclosure,20190722000008,warn,confirmed,"신주 23,502,766 = 공시 bonus | 주식수반영일 20190829"
256150,20210426,2,bonus,disclosure,20210412000625,warn,confirmed,"신주 4,091,000 = 공시 bonus | 주식수반영일 20210524"
256630,20260518,0.1999999931031,merge,v1+ledger,20260515902413,pass,confirmed,"v1 confirmed 승계, 일간 실측 배율"
256940,20200520,3,bonus,disclosure,20200506000184,warn,confirmed,"신주 10,142,392 = 공시 bonus | 주식수반영일 20200610"
257720,20220714,6,bonus,disclosure,20220630000343,warn,confirmed,"신주 50,147,695 = 공시 bonus | 주식수반영일 20220802"
258830,20211020,5,split,v1+ledger,20211019900367,pass,confirmed,"v1 confirmed 승계, 일간 실측 배율"
259630,20200923,1.98675572585786,bonus,disclosure,20200924000333,warn,confirmed,"신주 5,364,088 = 공시 bonus | 주식수반영일 20201019"
260660,20201230,1.04874981863907,bonus,disclosure,20201221000240,pass,confirmed,"신주 478,800 = 공시 bonus | 주식수반영일 20210122"
260660,20210615,1.48800611628217,bonus,disclosure,20210601000036,pass,confirmed,"신주 5,026,646 = 공시 bonus | 주식수반영일 20210707"
260930,20210325,1.91081826382554,bonus,disclosure,20210408001205,warn,confirmed,"신주 9,219,440 = 공시 bonus | 주식수반영일 20210423"
261200,20210504,0.199999991868757,merge,v1+ledger,20210503900565,pass,confirmed,"v1 confirmed 승계, 일간 실측 배율"
262260,20220207,2,bonus,disclosure,20220124000013,warn,confirmed,"신주 7,065,942 = 공시 bonus | 주식수반영일 20220304"
262840,20240418,1.95638945233266,bonus,disclosure,20240424000002,warn,confirmed,"신주 9,430,000 = 공시 bonus | 주식수반영일 20240513"
262840,20250428,1.09558864696734,bonus,disclosure,20250414001687,pass,confirmed,"신주 1,843,905 = 공시 bonus | 주식수반영일 20250523"
262840,20260507,0.499999976341334,merge,v1+ledger,20260506900617,pass,confirmed,"v1 confirmed 승계, 일간 실측 배율"
263020,20211125,2,bonus,disclosure,20211111000281,warn,confirmed,"신주 7,763,202 = 공시 bonus | 주식수반영일 20211220"
263050,20200717,2,bonus,disclosure,20200703000258,warn,confirmed,"신주 7,460,234 = 공시 bonus | 주식수반영일 20200807"
263050,20220712,1.49999997897887,mixed,disclosure,20220721000333,warn,confirmed,"신주 11,892,794 = 공시 mixed | 주식수반영일 20220729"
263540,20211013,0.0499999949857835,reduction,v1+ledger,20211012000331,pass,confirmed,"v1 confirmed 승계, 일간 실측 배율"
263540,20230228,4.99113265957907,bonus,disclosure,20230215000095,warn,confirmed,"신주 8,391,544 = 공시 bonus | 주식수반영일 20230320"
263700,20200707,1.09703612465733,bonus,v1+ledger,20200626000285,pass,confirmed,"v1 confirmed 승계, 일간 실측 배율"
